AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
9.72,0.76,-3.51,0.15,-0.0,-0.02
9.73,0.76,-3.46,-0.0,-0.01,-0.01
9.81,0.17,-0.94,-0.0,0.0,-0.01
9.76,0.07,-1.26,0.15,-0.02,-0.03
9.67,0.36,-3.23,0.05,-0.02,-0.02
9.74,0.48,-3.32,-0.24,-0.02,-0.01
9.71,0.52,-2.88,-0.45,-0.02,-0.0
9.74,0.52,-1.94,-0.62,-0.05,0.01
9.73,0.27,-0.68,-0.67,-0.04,0.01
9.77,0.18,0.29,-0.65,-0.04,0.01
9.92,0.02,1.32,-0.57,-0.03,0.0
9.89,-0.09,1.92,-0.46,-0.03,-0.0
9.91,-0.3,2.7,-0.33,-0.03,-0.01
9.92,-0.7,3.13,-0.16,-0.03,-0.01
9.83,-0.12,0.5,-0.05,-0.05,-0.01
9.88,0.69,0.81,-0.17,-0.05,-0.01
9.84,0.08,2.39,-0.13,-0.03,-0.01
9.93,0.15,2.17,0.13,-0.01,-0.02
9.8,0.28,0.64,0.27,0.01,-0.03
9.76,0.45,-0.91,0.26,0.01,-0.03
9.78,0.46,-1.4,0.15,-0.01,-0.02
9.78,0.47,-1.72,0.07,-0.02,-0.02
9.79,0.71,-1.5,-0.0,-0.02,-0.01
9.7,0.57,-1.72,-0.02,-0.02,-0.01
9.74,0.6,-1.77,-0.0,-0.02,-0.02
9.76,0.46,-2.25,-0.02,-0.0,-0.02
9.79,0.15,-2.44,-0.11,-0.0,-0.02
9.76,-0.26,-2.46,-0.27,-0.02,-0.01
9.79,-0.76,-1.65,-0.39,-0.03,-0.01
9.81,-1.23,-0.57,-0.43,-0.03,-0.01
9.83,-1.62,0.52,-0.4,-0.03,-0.01
9.88,-1.59,1.17,-0.31,-0.03,-0.01
9.85,-1.34,1.52,-0.19,-0.03,-0.01
9.87,-0.91,1.62,-0.07,-0.02,-0.01
9.87,-0.37,1.49,0.02,-0.03,-0.01
9.86,0.0,1.5,0.08,-0.02,-0.02
9.9,0.25,1.68,0.16,-0.01,-0.02
9.8,0.7,1.64,0.26,-0.01,-0.02
9.8,1.13,0.72,0.37,0.0,-0.03
9.8,1.55,-0.4,0.38,0.0,-0.03
9.75,1.65,-1.02,0.33,0.0,-0.03
9.75,1.74,-1.91,0.25,-0.01,-0.02
9.74,1.6,-1.93,0.13,-0.02,-0.02
9.75,1.26,-1.79,0.08,-0.03,-0.02
9.76,1.0,-1.87,0.02,-0.02,-0.02
9.75,0.48,-1.93,-0.07,-0.01,-0.02
9.83,0.08,-1.92,-0.16,-0.02,-0.02
9.77,-0.34,-1.5,-0.25,-0.02,-0.01
9.77,-0.98,-0.82,-0.29,-0.02,-0.02
9.8,-1.32,-0.21,-0.3,-0.02,-0.01
9.83,-1.51,0.3,-0.25,-0.03,-0.01
9.87,-1.41,0.56,-0.15,-0.03,-0.01
9.84,-1.2,0.28,-0.09,-0.03,-0.01
9.85,-0.86,0.04,-0.08,-0.02,-0.01
9.84,-0.55,0.42,-0.08,-0.03,-0.01
9.86,-0.31,0.84,-0.05,-0.03,-0.01
9.88,0.0,1.13,0.0,-0.02,-0.01
9.88,0.18,1.21,0.06,-0.02,-0.02
9.85,0.27,1.28,0.14,-0.02,-0.02
9.85,0.32,1.39,0.22,-0.01,-0.03
9.82,0.47,1.13,0.32,-0.01,-0.04
9.88,0.78,0.22,0.38,0.0,-0.03
9.82,1.16,-0.96,0.35,0.01,-0.03
9.87,1.26,-1.28,0.29,-0.0,-0.03
9.75,1.24,-1.45,0.24,0.0,-0.02
9.72,1.19,-2.1,0.17,0.0,-0.02
9.77,0.8,-1.91,0.09,-0.0,-0.01
9.78,0.38,-1.44,0.1,-0.02,-0.02
9.76,0.15,-1.72,0.12,-0.03,-0.02
9.77,0.1,-2.23,0.09,-0.02,-0.03
9.68,0.09,-2.62,-0.02,-0.01,-0.02
9.74,0.33,-3.2,-0.24,-0.02,-0.01
9.74,0.39,-2.61,-0.45,-0.04,-0.0
9.8,0.45,-1.65,-0.6,-0.04,0.01
9.95,0.25,-0.46,-0.63,-0.03,0.01
9.76,0.13,0.43,-0.57,-0.05,0.0
9.91,-0.12,0.88,-0.52,-0.03,0.0
9.84,-0.4,1.79,-0.44,-0.02,0.0
9.9,-0.76,2.66,-0.31,-0.03,-0.01
9.86,-0.88,3.28,0.12,-0.03,-0.03
9.72,-0.15,0.25,0.0,-0.04,-0.02
9.78,0.09,0.58,-0.05,-0.07,-0.03
9.95,-0.25,2.62,-0.1,-0.03,-0.01
9.94,-0.42,3.96,0.23,-0.03,-0.02
9.96,-0.77,3.06,0.54,-0.02,-0.04
9.79,-0.63,1.22,0.71,0.03,-0.05
9.93,-0.39,-0.95,0.69,0.02,-0.05
9.87,-0.15,-1.71,0.51,0.01,-0.04
9.73,-0.01,-1.11,0.34,-0.01,-0.03
