AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
9.82,-0.02,0.44,-0.01,-0.03,-0.02
9.89,-0.08,0.45,-0.05,-0.03,-0.02
9.75,-0.52,0.7,-0.01,-0.01,-0.01
9.87,-0.56,0.56,0.12,-0.02,-0.02
9.84,-0.37,0.15,0.2,-0.01,-0.02
9.88,-0.45,-0.19,0.23,-0.02,-0.03
9.78,-0.33,-0.57,0.26,-0.01,-0.03
9.85,0.15,-1.03,0.28,-0.01,-0.03
9.72,0.3,-1.26,0.17,-0.0,-0.03
9.82,0.45,-1.48,0.04,-0.01,-0.02
9.73,0.36,-1.57,-0.05,-0.01,-0.01
9.83,0.22,-1.47,-0.19,-0.01,-0.01
9.75,0.09,-1.05,-0.29,-0.01,-0.01
9.8,-0.31,-0.55,-0.31,-0.02,-0.01
9.8,-0.7,-0.52,-0.29,-0.03,-0.01
9.83,-0.25,-0.74,-0.3,-0.02,-0.01
9.82,0.32,-1.03,-0.32,-0.02,-0.01
9.81,0.66,-1.35,-0.42,-0.01,-0.01
9.76,0.76,-1.48,-0.55,-0.02,-0.0
9.82,0.74,-1.01,-0.63,-0.02,0.0
9.81,0.62,-0.2,-0.66,-0.04,0.01
9.91,0.44,0.94,-0.61,-0.04,0.01
9.89,0.49,1.27,-0.44,-0.02,0.0
9.9,0.45,0.85,-0.27,-0.01,-0.01
9.84,0.54,0.2,-0.15,-0.01,-0.02
9.78,1.24,-0.59,-0.09,-0.02,-0.02
9.74,1.39,-0.51,-0.06,-0.03,-0.01
9.81,1.24,0.04,0.01,-0.03,-0.01
10.0,1.01,0.19,0.12,-0.04,-0.02
9.74,0.05,0.17,0.2,-0.04,-0.03
9.86,-0.5,-0.01,0.21,-0.02,-0.01
9.82,-0.7,-0.25,0.15,-0.03,-0.02
9.87,-0.42,-0.41,0.02,-0.03,-0.02
9.85,0.02,-0.52,-0.13,-0.03,-0.01
9.8,-0.3,-0.32,-0.24,-0.03,-0.0
9.81,-0.59,0.12,-0.26,-0.02,-0.01
9.87,-0.39,0.15,-0.21,-0.02,-0.01
9.83,0.12,0.34,-0.17,-0.02,-0.01
9.87,0.03,0.43,-0.16,-0.01,-0.01
9.87,-0.26,0.6,-0.13,-0.01,-0.01
9.87,-0.32,0.52,-0.03,-0.0,-0.01
9.83,-0.27,0.3,0.07,-0.02,-0.02
9.86,-0.1,-0.23,0.15,-0.03,-0.03
9.78,-0.02,-0.37,0.12,-0.02,-0.02
9.79,0.02,-0.22,0.12,-0.02,-0.03
9.84,0.15,-0.46,0.17,-0.02,-0.03
9.82,0.24,-0.71,0.14,-0.02,-0.02
9.77,0.44,-1.27,0.12,-0.02,-0.02
9.71,0.61,-1.82,0.02,-0.02,-0.01
9.83,0.22,-0.44,-0.04,-0.01,-0.01
9.83,0.16,-0.33,-0.03,-0.02,-0.02
9.84,0.14,-0.29,-0.03,-0.03,-0.02
