AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
9.73,-0.35,-2.64,-0.0,-0.05,-0.03
9.85,-0.06,-0.77,-0.03,-0.02,-0.02
9.82,0.02,-0.5,-0.02,0.05,-0.01
9.72,-0.45,-1.22,0.02,0.02,-0.01
9.79,-0.05,-2.22,-0.0,-0.04,-0.02
9.8,0.02,-2.62,-0.2,-0.04,-0.01
9.73,-0.11,-1.85,-0.38,-0.03,-0.0
9.8,-0.16,-0.63,-0.44,-0.08,-0.01
9.82,0.01,0.29,-0.43,-0.01,0.01
9.84,0.28,0.85,-0.35,-0.05,-0.0
9.84,0.74,1.24,-0.28,-0.04,-0.01
9.87,0.84,2.01,-0.22,-0.02,-0.0
9.86,0.34,1.7,-0.09,-0.03,-0.01
9.88,1.14,0.53,-0.06,-0.03,-0.01
9.88,1.12,1.28,-0.14,0.03,-0.0
9.84,0.57,2.26,-0.09,0.11,0.01
9.92,0.46,2.2,0.12,0.05,-0.01
9.85,-0.18,1.6,0.32,0.0,-0.03
9.83,-0.5,0.79,0.49,-0.0,-0.04
9.83,-0.45,-0.63,0.55,0.0,-0.04
9.78,-0.46,-2.07,0.47,0.0,-0.04
9.74,-0.39,-3.23,0.27,-0.0,-0.03
9.7,-0.25,-3.72,0.03,-0.04,-0.02
9.74,-0.14,-1.39,-0.08,-0.07,-0.02
9.74,-0.47,-0.91,-0.08,-0.14,-0.04
9.84,-0.17,-1.22,-0.08,-0.21,-0.05
9.83,0.02,-1.27,-0.08,-0.05,-0.02
9.81,-0.24,-1.04,-0.07,0.0,-0.01
9.74,-0.24,-1.78,-0.08,-0.01,-0.01
9.78,-0.18,-2.03,-0.21,-0.06,-0.01
9.76,-0.19,-1.32,-0.38,-0.06,0.0
9.91,-0.15,-0.16,-0.51,-0.02,0.01
9.87,-0.22,0.99,-0.51,-0.01,0.02
9.83,-0.35,1.12,-0.49,-0.06,0.01
9.79,-0.19,0.73,-0.61,-0.06,0.01
9.85,0.18,0.75,-0.62,-0.06,0.01
9.86,0.29,1.09,-0.51,-0.01,0.01
9.86,0.63,1.15,-0.39,-0.03,0.0
9.86,0.79,1.05,-0.31,0.02,0.01
9.91,0.99,0.88,-0.28,0.02,0.0
9.85,1.13,1.09,-0.21,0.05,0.01
9.82,1.13,1.02,-0.09,0.01,-0.01
9.88,1.24,0.93,0.04,0.01,-0.02
9.82,1.37,0.09,0.17,-0.0,-0.03
9.75,1.18,-0.84,0.23,-0.02,-0.04
9.85,1.14,-1.25,0.15,-0.07,-0.05
9.79,0.94,-0.6,0.07,0.02,-0.03
9.84,0.51,-0.45,0.05,-0.02,-0.04
9.78,0.37,-0.83,0.06,-0.03,-0.03
9.84,0.01,-1.42,0.07,-0.01,-0.03
9.77,0.05,-1.49,0.07,0.02,-0.02
9.74,-0.01,-1.22,0.05,0.01,-0.02
9.85,-1.13,-0.36,0.08,-0.02,-0.02
9.77,-1.07,-0.12,0.12,0.01,-0.03
9.78,-1.08,-0.58,0.15,-0.02,-0.03
9.82,-0.74,-0.77,0.11,0.01,-0.02
